project,last_updated,Barcodes,Geno,Nitrogen,rep,Leaf_no,Photo,Cond,Tleaf,Trans,VpdL,lma_gm2,d13c,d15n,cent_n,cent_c,n_mass_mg_per_g,n_area_gm2,c_mass_mg_per_g,c_area_gm2
cousins_pheno_0,2019/01/17 08:11:28,Fa001AA031190,E01,10,1,5,23.16989297,0.133838921,31.90650034,0.003120214,2.307086635,36.30492722,-15.9,-3,2.562901177,43.20876824,25.62901177,0.930459407,432.0876824,15.68691186
cousins_pheno_0,2019/01/17 08:11:28,Fa001AA031220,E01,10,2,5,13.22944244,0.077598878,31.94009924,0.00199033,2.515531868,36.73204401,-14.53,-1.44,2.022106977,43.0029814,20.22106977,0.742761225,430.029814,15.79587405
cousins_pheno_0,2019/01/17 08:11:28,Fa001AA031250,E01,10,3,4,21.07311323,0.137620847,31.95969868,0.003526622,2.542983269,32.88799289,-15.45,-1.58,2.161615584,43.80648312,21.61615584,0.71091198,438.0648312,14.40707305
cousins_pheno_0,2019/01/17 08:11:28,Fa001AA031310,E01,10,5,4,27.61402332,0.154143207,32.06664849,0.003849521,2.478594344,33.95578487,-15.62,1.08,1.84,44.218,18.4,0.624786442,442.18,15.01456895
cousins_pheno_0,2019/01/17 08:11:28,Fa001AC031640,E01,100,1,4,29.23483859,0.173232833,31.92298794,0.004018879,2.326074828,32.24731771,-15.55,-3.21,3.229,43.42,32.29,1.041265889,434.2,14.00178535
cousins_pheno_0,2019/01/17 08:11:28,Fa001AC031730,E01,100,4,3,21.13080552,0.105449566,31.97451353,0.002721016,2.519784319,31.39308412,-15.97,-1.7,2.915285714,44.44093878,29.15285714,0.915198097,444.4093878,13.95138129
cousins_pheno_0,2019/01/17 08:11:28,Fa001AC031790,E01,100,6,4,25.28238429,0.148154969,32.14820957,0.003822712,2.555660474,40.36253673,-15.87,-4.13,3.535732804,46.1031746,35.35732804,1.427111452,461.031746,18.60841078
cousins_pheno_0,2019/01/17 08:11:28,Fa001AC031850,E01,100,8,4,25.46685825,0.160206319,32.02072907,0.003547056,2.207407216,36.30492722,-15.84,-4.28,3.421,47.478,34.21,1.24199156,474.78,17.23685335
cousins_pheno_0,2019/01/17 08:11:28,Fa001AB031400,E01,50,2,4,13.72226431,0.107477269,31.95304871,0.002476032,2.263070898,28.83038338,-14.81,-1.31,1.565,40.13,15.65,0.4511955,401.3,11.56963285
cousins_pheno_0,2019/01/17 08:11:28,Fa001AB031400,E01,50,2,5,22.01399326,0.136621355,31.86994553,0.003176507,2.302714504,28.83038338,-14.81,-1.31,1.565,40.13,15.65,0.4511955,401.3,11.56963285
cousins_pheno_0,2019/01/17 08:11:28,Fa001AB031520,E01,50,6,3,14.20516503,0.078024368,31.8698864,0.001927881,2.406849442,28.61682498,-15.03,0.56,2.232470149,56.99150373,22.32470149,0.638862075,569.9150373,16.30915888
cousins_pheno_0,2019/01/17 08:11:28,Fa001AB031610,E01,50,9,4,12.92981993,0.100388015,31.93295861,0.002697754,2.630029719,32.6744345,-15.02,-2.28,2.641,44.182,26.41,0.862931815,441.82,14.43621865
cousins_pheno_0,2019/01/17 08:11:28,Fa002AA031191,E02,10,1,6,18.34201056,0.100756677,31.98347807,0.002592111,2.530394102,28.18970819,-15.14,-2.89,1.905,33.869,19.05,0.537013941,338.69,9.547572267
cousins_pheno_0,2019/01/17 08:11:28,Fa002AA031221,E02,10,2,5,10.9712242,0.061215041,31.98301602,0.001717236,2.738553399,22.42363152,-15.51,-1.54,2.266262857,44.53524952,22.66262857,0.508178432,445.3524952,9.986420249
cousins_pheno_0,2019/01/17 08:11:28,Fa002AA031341,E02,10,6,5,20.0240741,0.106020549,32.15005398,0.002861971,2.661966076,30.75240894,-15.52,-2.72,2.35,39.536,23.5,0.72268161,395.36,12.1582724
cousins_pheno_0,2019/01/17 08:11:28,Fa002AC031641,E02,100,1,5,28.39703585,0.162856241,32.00228501,0.00342093,2.112301163,25.41344905,-15.77,-3.43,2.714827731,41.66475294,27.14827731,0.689931362,416.6475294,10.58845076
cousins_pheno_0,2019/01/17 08:11:28,Fa002AC031671,E02,100,2,5,25.26237621,0.150647653,32.03665543,0.003326265,2.213255416,30.11173375,,,,,,,,
cousins_pheno_0,2019/01/17 08:11:28,Fa002AC031791,E02,100,6,4,19.06307019,0.129521738,31.99596151,0.002963064,2.262142181,23.70498189,-15.9,-3.68,3.056112613,49.92694595,30.56112613,0.724450941,499.2694595,11.8351735
cousins_pheno_0,2019/01/17 08:11:28,Fa002AC031881,E02,100,9,4,17.3679196,0.096415446,31.77010918,0.002194823,2.234958704,18.5795804,-16.27,-5.48,2.495,42.57,24.95,0.463560531,425.7,7.909327376
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031371,E02,50,1,4,24.11035268,0.183152645,31.54168829,0.004182087,2.283475544,20.28804756,-15.95,-1.31,2.573,44.317,25.73,0.522011464,443.17,8.991054037
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031371,E02,50,1,4,24.11035268,0.183152645,31.54168829,0.004182087,2.283475544,25.41344905,-15.95,-1.31,2.573,44.317,25.73,0.653888044,443.17,11.26247822
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031371,E02,50,1,6,20.40450046,0.126081656,32.02236462,0.003126433,2.478621246,20.28804756,-15.95,-1.31,2.573,44.317,25.73,0.522011464,443.17,8.991054037
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031371,E02,50,1,6,20.40450046,0.126081656,32.02236462,0.003126433,2.478621246,25.41344905,-15.95,-1.31,2.573,44.317,25.73,0.653888044,443.17,11.26247822
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031401,E02,50,2,5,24.06858842,0.185534563,31.99082995,0.003786388,2.059381583,22.21007312,-15.78,-1.44,2.333,40.482,23.33,0.518161006,404.82,8.9910818
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031581,E02,50,8,5,22.31670727,0.147057342,32.16169739,0.003707399,2.503751636,26.90835782,-15.33,-1.74,2.58,43.433,25.8,0.694235632,434.33,11.68710705
